A2 =(SUM A1)
A31 =(SUM A30 A29)
A27 =(SUM A26 A25)
A56 =(SUM A55 A54)
A23 =(SUM A22 A21)
A52 =(SUM A51 A50)
A19 =(SUM A18 A17)
A48 =(SUM A47 A46)
A15 =(SUM A14 A13)
A44 =(SUM A43 A42)
A11 =(SUM A10 A9)
A40 =(SUM A39 A38)
A7 =(SUM A6 A5)
A36 =(SUM A35 A34)
A3 =(SUM A2 A1)
A32 =(SUM A31 A30)
A28 =(SUM A27 A26)
A57 =(SUM A56 A55)
A24 =(SUM A23 A22)
A53 =(SUM A52 A51)
A20 =(SUM A19 A18)
A49 =(SUM A48 A47)
A16 =(SUM A15 A14)
A45 =(SUM A44 A43)
A12 =(SUM A11 A10)
A41 =(SUM A40 A39)
A8 =(SUM A7 A6)
A37 =(SUM A36 A35)
A4 =(SUM A3 A2)
A33 =(SUM A32 A31)
A29 =(SUM A28 A27)
A25 =(SUM A24 A23)
A54 =(SUM A53 A52)
A21 =(SUM A20 A19)
A50 =(SUM A49 A48)
A17 =(SUM A16 A15)
A46 =(SUM A45 A44)
A13 =(SUM A12 A11)
A42 =(SUM A41 A40)
A9 =(SUM A8 A7)
A38 =(SUM A37 A36)
A5 =(SUM A4 A3)
A34 =(SUM A33 A32)
A1 1.000000
A30 =(SUM A29 A28)
A26 =(SUM A25 A24)
A55 =(SUM A54 A53)
A22 =(SUM A21 A20)
A51 =(SUM A50 A49)
A18 =(SUM A17 A16)
A47 =(SUM A46 A45)
A14 =(SUM A13 A12)
A43 =(SUM A42 A41)
A10 =(SUM A9 A8)
A39 =(SUM A38 A37)
A6 =(SUM A5 A4)
A35 =(SUM A34 A33)
